Question Number,Question,Options,Correct Answer,Difficulty Level
1,The speed of a universal motor is generally reduced by using,gear trains //@ V-belts //@ Brakes //@ chains,Not provided,EASY
2,The efficiency of two identical transformers under load conditions can be determined by,Short -circuit  test //@ back -to-back test //@ Open  circuit test //@ any of the above,Not provided,MEDIUM
3,Superposition theorem can be applied only to circuits having,Resistive  elements //@ Passive elements //@ Non-linear  elements //@ linear  bilateral elements,Not provided,MEDIUM
4,A star circuit has element of resistance R/2.  The equivalent delta elements will be,R/6 //@ fi //@ 2R //@ 4R,Not provided,HARD
5,An Ideal Voltage source has,Zero internal resistance //@ Open circuit voltage equal to the voltage on full load //@ Terminal voltage in proportion to current //@ Terminal Voltage in Proportion to load,Not provided,MEDIUM
6,In repulsion motor direction of rotation of motor,is opposite to that of brush shift //@ is the same as that of brush shift //@ is independent of brush shift //@ none of the above,Not provided,MEDIUM
7,Burning out of windings is due to,Short  circuited capacitor //@ capacitor value hiving changed //@ Open  circuiting of capacitor //@ none of the above,Not provided,MEDIUM
8,For which of the following equipment current rating is not necessary?,Circuit breakers //@ Isolators //@ Load break switch //@ Circuit breakers and load break switches,Not provided,EASY
9,"A conductor of length L has current I passing through it, when it is placed parallel to a magnetic field. The force experienced by the conductor will be",Zero //@ BLI //@ B2LI //@ BLI2,Not provided,MEDIUM
10,Addition of pentavalent impurity to a semiconductor creates many,Free electrons //@ Holes //@ Valence Electrons //@ Bound electrons,Not provided,MEDIUM
11,Which of the following materials is not used for transmission and distribution of electrical power?,Copper //@ Aluminum //@ Steel //@ Tungsten,Not provided,EASY
12,"When a step -input is given to an op -amp integrator, the output will be",A ramp //@ A sinusoidal wave //@ A rectangular wave //@ A triangular wave with dc bias,Not provided,MEDIUM
13,Excess -3 code is known as,Weighted code //@ Cyclic  redundancy code //@ Self -complementing code //@ Algebraic code,Not provided,HARD
14,Electro -mechanical voltage regulators are generally used in,Reactors //@ generators //@ Transformers //@ all of the above,Not provided,MEDIUM
15,A rotary converter operates at a,Low power fac tor //@ High power factor //@ Zero power factor //@ none of the above,Not provided,MEDIUM
16,Light duty cranes are used in which of the following?,Power houses //@ Pumping stations //@ Automobile workshops //@ All of the above,Not provided,EASY
17,Magnetic circuit breaker has _________ trip action.,Delayed //@ Instantaneous //@ Both a & b //@ None of the above,Not provided,EASY
18,A power transformer is usually rated in,KW //@ KVAR //@ KWh //@ KVA,Not provided,EASY
19,"Submarines for under water movement, are powered by which of the following?",Steam accumulators //@ Air motors //@ Diesel engines //@ Batteries,Not provided,EASY
20,The upper or lower cut off frequency is also called ________ frequency,Resonant //@ Sideband //@ 3db //@ None of the above,Not provided,MEDIUM
21,When the load resistance equals the generator res istance which of the following will be maximum?,Current //@ Efficiency of the circuit //@ Power in the load resistance //@ Voltage across the load resistance,Not provided,MEDIUM
22,The transformer laminations are insulated from each other by,Mica  strip //@ thi n coat of varnish //@ Paper //@ any of the above,Not provided,EASY
23,The output voltage of a charger is,Less than the battery voltage //@ Higher than the battery voltage //@ The same as the battery voltage //@ none  of the above,Not provided,EASY
24,Calculate the cutoff frequency of a first order low -pass filter for R1=2.5Kohm and C1=0.05microFarad,1.273 kHz //@ 12.73 kHz //@ 127.3 kHz //@ 127.3Hz,Not provided,HARD
25,Admittance relay is _________relay.,Impedance //@ Directional //@ Non -directional //@ None of the above,Not provided,MEDIUM
26,Minimum voltage regulation occurs when the power factor of the load is,Unity //@ lagging //@ Leading //@ zero,Not provided,MEDIUM
27,Which of the following materials are diamagnetic?,Silver //@ Copper //@ Silver and Copper //@ Iron,Not provided,EASY
28,To limit short - circuit  current in a power system are used.,Earth wires //@ Reactors //@ H.R.C. fuses //@ Isolators,Not provided,MEDIUM
